name;cores;cpumark;thread;tdp;socket;cat;cannonname
Intel Core i9-13905H;14;29821;3734;45;FCBGA1792;Laptop;Intel Core i9-13905H
Intel Core i9-13950HX;24;41135;3872;55;FCBGA1964;Laptop;Intel Core i9-13950HX
Intel Core i9-13980HX;24;46119;4241;55;FCBGA1964;Laptop;Intel Core i9-13980HX
Intel Core i9-14900;24;45243;4377;65;FCLGA1700;Desktop;Intel Core i9-14900
Intel Core i9-14900F;24;46848;4516;65;FCLGA1700;Desktop;Intel Core i9-14900F
Intel Core i9-14900HX;24;44803;4218;55;FCBGA1964;Laptop;Intel Core i9-14900HX
Intel Core i9-14900K;24;58565;4697;125;FCLGA1700;Desktop;Intel Core i9-14900K
Intel Core i9-14900KF;24;58334;4691;125;FCLGA1700;Desktop;Intel Core i9-14900KF
Intel Core i9-14900KS;24;60494;4824;150;FCLGA1700;Desktop;Intel Core i9-14900KS
Intel Core i9-14900T;24;38282;4179;35;FCLGA1700;Desktop;Intel Core i9-14900T
Intel Core i9-7900X @ 3.30GHz;10;20919;2535;140;FCLGA2066;Desktop;Intel Core i9-7900X @ 3.30GHz
Intel Core i9-7920X @ 2.90GHz;12;23582;2499;140;FCLGA2066;Desktop;Intel Core i9-7920X @ 2.90GHz
Intel Core i9-7940X @ 3.10GHz;14;25540;2482;165;FCLGA2066;Desktop;Intel Core i9-7940X @ 3.10GHz
Intel Core i9-7960X @ 2.80GHz;16;28017;2455;165;FCLGA2066;Desktop;Intel Core i9-7960X @ 2.80GHz
Intel Core i9-7980XE @ 2.60GHz;18;29675;2439;165;FCLGA2066;Desktop;Intel Core i9-7980XE @ 2.60GHz
Intel Core i9-8950HK @ 2.90GHz;6;10383;2415;45;FCBGA1440;Laptop;Intel Core i9-8950HK @ 2.90GHz
Intel Core i9-9820X @ 3.30GHz;10;20464;2459;165;FCLGA2066;Desktop;Intel Core i9-9820X @ 3.30GHz
Intel Core i9-9880H @ 2.30GHz;8;13528;2459;45;FCBGA1440;Laptop;Intel Core i9-9880H @ 2.30GHz
Intel Core i9-9900 @ 3.10GHz;8;16243;2799;65;FCLGA1151-2;Desktop;Intel Core i9-9900 @ 3.10GHz
Intel Core i9-9900B @ 3.10GHz;8;15893;2694;65;FCLGA1151;Desktop;Intel Core i9-9900B @ 3.10GHz
Intel Core i9-9900K @ 3.60GHz;8;18118;2916;95;FCLGA1151-2;Desktop;Intel Core i9-9900K @ 3.60GHz
Intel Core i9-9900KF @ 3.60GHz;8;18029;2903;95;FCLGA1151-2;Desktop;Intel Core i9-9900KF @ 3.60GHz
Intel Core i9-9900KS @ 4.00GHz;8;19410;3031;127;FCLGA1151-2;Desktop;Intel Core i9-9900KS @ 4.00GHz
Intel Core i9-9900T @ 2.10GHz;8;13246;2463;35;FCLGA1151-2;Desktop;Intel Core i9-9900T @ 2.10GHz
Intel Core i9-9900X @ 3.50GHz;10;21630;2544;165;FCLGA2066;Desktop;Intel Core i9-9900X @ 3.50GHz
Intel Core i9-9920X @ 3.50GHz;12;24939;2627;165;FCLGA2066;Desktop;Intel Core i9-9920X @ 3.50GHz
Intel Core i9-9940X @ 3.30GHz;14;28086;2618;165;FCLGA2066;Desktop;Intel Core i9-9940X @ 3.30GHz
Intel Core i9-9960X @ 3.10GHz;16;29927;2589;165;FCLGA2066;Desktop;Intel Core i9-9960X @ 3.10GHz
Intel Core i9-9980HK @ 2.40GHz;8;13963;2510;45;FCBGA1440;Laptop;Intel Core i9-9980HK @ 2.40GHz
Intel Core i9-9980XE @ 3.00GHz;18;31492;2547;165;FCLGA2066;Desktop;Intel Core i9-9980XE @ 3.00GHz
Intel Core i9-9990XE @ 4.00GHz;14;30162;2970;255;LGA2066;Desktop;Intel Core i9-9990XE @ 4.00GHz
Intel Core M-5Y10 @ 0.80GHz;2;1644;976;4.5;Unknown;Laptop;Intel Core M-5Y10 @ 0.80GHz
Intel Core M-5Y10a @ 0.80GHz;2;1905;993;4.5;FCBGA1234;Laptop;Intel Core M-5Y10a @ 0.80GHz
Intel Core M-5Y10c @ 0.80GHz;2;1906;1112;4.5;FCBGA1234;Laptop;Intel Core M-5Y10c @ 0.80GHz
Intel Core M-5Y31 @ 0.90GHz;2;1905;1240;4.5;FCBGA1234;Laptop;Intel Core M-5Y31 @ 0.90GHz
Intel Core M-5Y51 @ 1.10GHz;2;2030;1315;4.5;FCBGA1234;Laptop;Intel Core M-5Y51 @ 1.10GHz
Intel Core M-5Y70 @ 1.10GHz;2;1890;1153;4.5;BGA1234;Laptop;Intel Core M-5Y70 @ 1.10GHz
Intel Core M-5Y71 @ 1.20GHz;2;1978;1241;4.5;FCBGA1234;Laptop;Intel Core M-5Y71 @ 1.20GHz
Intel Core m3-6Y30 @ 0.90GHz;2;2178;1170;4.5;FCBGA1515;Laptop;Intel Core m3-6Y30 @ 0.90GHz
Intel Core m3-7Y30 @ 1.00GHz;2;2413;1314;4.5;FCBGA1515;Laptop;Intel Core m3-7Y30 @ 1.00GHz
Intel Core m3-7Y32 @ 1.10GHz;2;2720;1625;4.5;FCBGA1515;Laptop, Mobile/Embedded;Intel Core m3-7Y32 @ 1.10GHz
Intel Core m3-8100Y @ 1.10GHz;2;2776;1626;5;FCBGA1515;Laptop, Mobile/Embedded;Intel Core m3-8100Y @ 1.10GHz
Intel Core m5-6Y54 @ 1.10GHz;2;2290;1301;7;FCBGA1515;Laptop, Mobile/Embedded;Intel Core m5-6Y54 @ 1.10GHz
Intel Core m5-6Y57 @ 1.10GHz;2;2346;1332;7;FCBGA1515;Laptop, Mobile/Embedded;Intel Core m5-6Y57 @ 1.10GHz
Intel Core m5-7Y54 @ 1.20GHz;2;1475;746;NA;Unknown;Laptop, Mobile/Embedded;Intel Core m5-7Y54 @ 1.20GHz
Intel Core m7-6Y75 @ 1.20GHz;2;2367;1363;7;FCBGA1515;Laptop, Mobile/Embedded;Intel Core m7-6Y75 @ 1.20GHz
Intel Core Solo T1300 @ 1.66GHz;1;210;518;27;PGA478;Laptop;Intel Core Solo T1300 @ 1.66GHz
Intel Core Solo T1350 @ 1.86GHz;1;194;413;31;Unknown;Laptop;Intel Core Solo T1350 @ 1.86GHz
Intel Core Solo T1400 @ 1.83GHz;1;253;525;27;PGA478;Laptop;Intel Core Solo T1400 @ 1.83GHz
Intel Core Solo U1300 @ 1.06GHz;1;127;340;6;PBGA479;Laptop;Intel Core Solo U1300 @ 1.06GHz
Intel Core Solo U1400 @ 1.20GHz;1;130;365;5.5;PBGA479;Laptop;Intel Core Solo U1400 @ 1.20GHz
Intel Core Solo U1500 @ 1.33GHz;1;164;375;5.5;Unknown;Laptop;Intel Core Solo U1500 @ 1.33GHz
Intel Core Ultra 5 115U;8;11430;3098;15;FCBGA2049;Laptop;Intel Core Ultra 5 115U
Intel Core Ultra 5 125H;14;20792;3373;28;FCBGA2049;Laptop;Intel Core Ultra 5 125H
Intel Core Ultra 5 125U;12;17176;3279;15;FCBGA2049;Laptop;Intel Core Ultra 5 125U
Intel Core Ultra 5 134U;12;12945;3092;30;FCBGA2551;Laptop;Intel Core Ultra 5 134U
Intel Core Ultra 5 135H;14;22133;3491;28;FCBGA2049;Laptop;Intel Core Ultra 5 135H
Intel Core Ultra 5 135U;12;17078;3307;15;FCBGA2049;Laptop;Intel Core Ultra 5 135U
Intel Core Ultra 5 225;10;31105;4413;65;FCLGA1851;Desktop;Intel Core Ultra 5 225
Intel Core Ultra 5 225F;10;31599;4472;65;FCLGA1851;Desktop;Intel Core Ultra 5 225F
Intel Core Ultra 5 225H;14;29204;4342;28;FCBGA2049;Laptop;Intel Core Ultra 5 225H
Intel Core Ultra 5 225T;10;26874;4425;35;FCLGA1851;Desktop;Intel Core Ultra 5 225T
Intel Core Ultra 5 225U;12;18659;3559;15;FCBGA2049;Laptop;Intel Core Ultra 5 225U
Intel Core Ultra 5 226V;8;18398;3865;17;FCBGA2833;Laptop, Mobile/Embedded;Intel Core Ultra 5 226V
Intel Core Ultra 5 228V;8;17119;3811;17;FCBGA2833;Laptop, Mobile/Embedded;Intel Core Ultra 5 228V
Intel Core Ultra 5 235;14;39900;4521;65;FCLGA1851;Desktop;Intel Core Ultra 5 235
Intel Core Ultra 5 235H;14;29616;4417;28;Unknown;Laptop;Intel Core Ultra 5 235H
Intel Core Ultra 5 235HX;14;40122;4708;55;Unknown;Laptop;Intel Core Ultra 5 235HX
Intel Core Ultra 5 235T;14;32169;4434;35;FCLGA1851;Desktop;Intel Core Ultra 5 235T
Intel Core Ultra 5 235U;12;17474;3568;15;FCBGA2049;Laptop;Intel Core Ultra 5 235U
Intel Core Ultra 5 236V;8;18310;3885;17;FCBGA2833;Mobile/Embedded;Intel Core Ultra 5 236V
Intel Core Ultra 5 238V;8;18207;3802;17;FCBGA2833;Mobile/Embedded;Intel Core Ultra 5 238V
Intel Core Ultra 5 245;14;40302;4593;65;FCLGA1851;Desktop;Intel Core Ultra 5 245
Intel Core Ultra 5 245HX;14;39605;4565;55;FCBGA2114;Mobile/Embedded;Intel Core Ultra 5 245HX
Intel Core Ultra 5 245K;14;43423;4705;125;FCLGA1851;Desktop;Intel Core Ultra 5 245K
Intel Core Ultra 5 245KF;14;43367;4729;125;FCLGA1851;Desktop;Intel Core Ultra 5 245KF
Intel Core Ultra 5 245T;14;32917;4492;35;FCLGA1851;Desktop;Intel Core Ultra 5 245T
Intel Core Ultra 7 155H;16;24735;3449;28;FCBGA2049;Laptop;Intel Core Ultra 7 155H
Intel Core Ultra 7 155U;12;16230;3338;15;FCBGA2049;Laptop;Intel Core Ultra 7 155U
Intel Core Ultra 7 164U;12;12598;2921;9;FCBGA2551;Laptop;Intel Core Ultra 7 164U
Intel Core Ultra 7 165H;16;25957;3500;28;FCBGA2049;Laptop;Intel Core Ultra 7 165H
Intel Core Ultra 7 165U;12;16858;3310;15;FCBGA2049;Laptop;Intel Core Ultra 7 165U
Intel Core Ultra 7 255H;16;30756;4354;28;FCBGA2049;Mobile/Embedded;Intel Core Ultra 7 255H
Intel Core Ultra 7 255HX;20;50050;4636;55;FCBGA2114;Laptop;Intel Core Ultra 7 255HX
Intel Core Ultra 7 255U;12;17992;3681;15;FCBGA2049;Laptop, Mobile/Embedded;Intel Core Ultra 7 255U
Intel Core Ultra 7 256V;8;19584;4003;17;FCBGA2833;Laptop;Intel Core Ultra 7 256V
Intel Core Ultra 7 258V;8;18963;4036;17;FCBGA2833;Laptop;Intel Core Ultra 7 258V
Intel Core Ultra 7 265;20;49653;4653;65;FCLGA1851;Desktop;Intel Core Ultra 7 265
Intel Core Ultra 7 265F;20;48887;4744;65;FCLGA1851;Desktop;Intel Core Ultra 7 265F
Intel Core Ultra 7 265H;16;34587;4424;28;FCBGA2049;Laptop;Intel Core Ultra 7 265H
Intel Core Ultra 7 265HX;20;49545;4535;55;FCBGA2114;Laptop;Intel Core Ultra 7 265HX
Intel Core Ultra 7 265K;20;58816;4922;125;FCLGA1851;Desktop;Intel Core Ultra 7 265K
Intel Core Ultra 7 265KF;20;58872;4925;125;FCLGA1851;Desktop;Intel Core Ultra 7 265KF
Intel Core Ultra 7 265T;20;42098;4621;35;FCLGA1851;Desktop;Intel Core Ultra 7 265T
Intel Core Ultra 7 265U;12;18003;3675;15;FCBGA2049;Laptop;Intel Core Ultra 7 265U
Intel Core Ultra 7 266V;8;19180;3895;17;FCBGA2833;Laptop;Intel Core Ultra 7 266V
Intel Core Ultra 7 268V;8;19763;4129;17;FCBGA2833;Mobile/Embedded;Intel Core Ultra 7 268V
Intel Core Ultra 9 185H;16;29361;3691;45;FCBGA2049;Laptop;Intel Core Ultra 9 185H
Intel Core Ultra 9 275HX;24;55944;4744;55;FCBGA2114;Laptop;Intel Core Ultra 9 275HX
Intel Core Ultra 9 285;24;57713;4930;65;FCLGA1851;Desktop;Intel Core Ultra 9 285
Intel Core Ultra 9 285H;16;34143;4480;45;FCBGA2049;Mobile/Embedded;Intel Core Ultra 9 285H
Intel Core Ultra 9 285HX;24;59576;4657;55;FCBGA2114;Laptop;Intel Core Ultra 9 285HX
Intel Core Ultra 9 285K;24;67586;5095;125;FCLGA1851;Desktop;Intel Core Ultra 9 285K
Intel Core Ultra 9 285T;24;36869;4700;35;FCLGA1851;Desktop;Intel Core Ultra 9 285T
Intel Core Ultra 9 288V;8;19583;4324;30;FCBGA2833;Laptop;Intel Core Ultra 9 288V
Intel Core2 6320 @ 1.86GHz;2;849;675;NA;Unknown;Unknown;Intel Core2 6320 @ 1.86GHz
Intel Core2 Duo E4300 @ 1.80GHz;2;588;661;65;LGA775;Desktop;Intel Core2 Duo E4300 @ 1.80GHz
Intel Core2 Duo E4400 @ 2.00GHz;2;733;771;65;LGA775;Desktop;Intel Core2 Duo E4400 @ 2.00GHz
Intel Core2 Duo E4500 @ 2.20GHz;2;745;814;65;LGA775;Desktop;Intel Core2 Duo E4500 @ 2.20GHz
Intel Core2 Duo E4600 @ 2.40GHz;2;876;924;65;LGA775;Desktop;Intel Core2 Duo E4600 @ 2.40GHz
Intel Core2 Duo E4700 @ 2.60GHz;2;1011;1021;65;LGA775;Desktop;Intel Core2 Duo E4700 @ 2.60GHz
Intel Core2 Duo E6300 @ 1.86GHz;2;652;693;65;LGA775, PLGA775;Desktop;Intel Core2 Duo E6300 @ 1.86GHz
Intel Core2 Duo E6320 @ 1.86GHz;2;724;717;65;PLGA775;Desktop;Intel Core2 Duo E6320 @ 1.86GHz
Intel Core2 Duo E6400 @ 2.13GHz;2;772;813;65;LGA775;Desktop;Intel Core2 Duo E6400 @ 2.13GHz
Intel Core2 Duo E6420 @ 2.13GHz;2;784;797;65;PLGA775;Desktop;Intel Core2 Duo E6420 @ 2.13GHz
Intel Core2 Duo E6540 @ 2.33GHz;2;808;969;65;LGA775;Desktop;Intel Core2 Duo E6540 @ 2.33GHz
Intel Core2 Duo E6550 @ 2.33GHz;2;912;911;65;LGA775;Desktop;Intel Core2 Duo E6550 @ 2.33GHz
Intel Core2 Duo E6600 @ 2.40GHz;2;937;942;65;PLGA775;Desktop;Intel Core2 Duo E6600 @ 2.40GHz
Intel Core2 Duo E6700 @ 2.66GHz;2;975;1015;65;LGA775;Desktop;Intel Core2 Duo E6700 @ 2.66GHz
Intel Core2 Duo E6750 @ 2.66GHz;2;1027;1032;65;LGA775;Desktop;Intel Core2 Duo E6750 @ 2.66GHz
Intel Core2 Duo E6850 @ 3.00GHz;2;1158;1186;65;LGA775;Desktop;Intel Core2 Duo E6850 @ 3.00GHz
Intel Core2 Duo E7200 @ 2.53GHz;2;1002;1059;65;LGA775;Desktop;Intel Core2 Duo E7200 @ 2.53GHz
Intel Core2 Duo E7300 @ 2.66GHz;2;981;1069;65;LGA775;Desktop;Intel Core2 Duo E7300 @ 2.66GHz
Intel Core2 Duo E7400 @ 2.80GHz;2;1043;1104;65;LGA775;Desktop;Intel Core2 Duo E7400 @ 2.80GHz
Intel Core2 Duo E7500 @ 2.93GHz;2;1157;1209;65;LGA775;Desktop;Intel Core2 Duo E7500 @ 2.93GHz
Intel Core2 Duo E7600 @ 3.06GHz;2;1150;1261;65;LGA775;Desktop;Intel Core2 Duo E7600 @ 3.06GHz
Intel Core2 Duo E8135 @ 2.40GHz;2;973;1028;NA;Unknown;Desktop;Intel Core2 Duo E8135 @ 2.40GHz
Intel Core2 Duo E8135 @ 2.66GHz;2;1112;1127;NA;Socket P;Laptop;Intel Core2 Duo E8135 @ 2.66GHz
Intel Core2 Duo E8200 @ 2.66GHz;2;1141;1142;65;LGA775;Desktop;Intel Core2 Duo E8200 @ 2.66GHz
Intel Core2 Duo E8235 @ 2.80GHz;2;1020;1112;NA;Socket P;Laptop;Intel Core2 Duo E8235 @ 2.80GHz
Intel Core2 Duo E8290 @ 2.83GHz;2;1408;1302;65;LGA775;Desktop;Intel Core2 Duo E8290 @ 2.83GHz
Intel Core2 Duo E8300 @ 2.83GHz;2;1019;1084;65;LGA775;Desktop;Intel Core2 Duo E8300 @ 2.83GHz
Intel Core2 Duo E8335 @ 2.66GHz;2;1121;1137;NA;Socket P;Laptop;Intel Core2 Duo E8335 @ 2.66GHz
Intel Core2 Duo E8335 @ 2.93GHz;2;1060;1151;NA;Socket P;Laptop;Intel Core2 Duo E8335 @ 2.93GHz
Intel Core2 Duo E8400 @ 3.00GHz;2;1216;1234;65;LGA775;Desktop;Intel Core2 Duo E8400 @ 3.00GHz
Intel Core2 Duo E8435 @ 3.06GHz;2;1104;1223;NA;Socket P;Laptop;Intel Core2 Duo E8435 @ 3.06GHz
Intel Core2 Duo E8500 @ 3.16GHz;2;1297;1323;65;LGA775;Desktop;Intel Core2 Duo E8500 @ 3.16GHz
Intel Core2 Duo E8600 @ 3.33GHz;2;1378;1388;65;LGA775;Desktop;Intel Core2 Duo E8600 @ 3.33GHz
Intel Core2 Duo L7100 @ 1.20GHz;2;467;484;NA;BGA956;Laptop;Intel Core2 Duo L7100 @ 1.20GHz
Intel Core2 Duo L7300 @ 1.40GHz;2;536;551;17;BGA479;Laptop;Intel Core2 Duo L7300 @ 1.40GHz
Intel Core2 Duo L7400 @ 1.50GHz;2;516;555;17;BGA479;Laptop;Intel Core2 Duo L7400 @ 1.50GHz
Intel Core2 Duo L7500 @ 1.60GHz;2;663;662;17;BGA479;Laptop;Intel Core2 Duo L7500 @ 1.60GHz
Intel Core2 Duo L7700 @ 1.80GHz;2;677;699;17;Unknown;Laptop;Intel Core2 Duo L7700 @ 1.80GHz
Intel Core2 Duo L7800 @ 2.00GHz;2;680;622;NA;Unknown;Unknown;Intel Core2 Duo L7800 @ 2.00GHz
Intel Core2 Duo L9300 @ 1.60GHz;2;690;703;17;BGA956;Laptop;Intel Core2 Duo L9300 @ 1.60GHz
Intel Core2 Duo L9600 @ 2.13GHz;2;788;849;17;BGA956;Laptop;Intel Core2 Duo L9600 @ 2.13GHz
Intel Core2 Duo P7350 @ 2.00GHz;2;725;783;25;BGA479;Laptop;Intel Core2 Duo P7350 @ 2.00GHz
Intel Core2 Duo P7370 @ 2.00GHz;2;790;793;25;PGA478;Laptop;Intel Core2 Duo P7370 @ 2.00GHz
Intel Core2 Duo P7450 @ 2.13GHz;2;803;844;25;PGA478;Laptop;Intel Core2 Duo P7450 @ 2.13GHz
Intel Core2 Duo P7550 @ 2.26GHz;2;836;961;25;PGA478;Laptop;Intel Core2 Duo P7550 @ 2.26GHz
Intel Core2 Duo P7570 @ 2.26GHz;2;870;942;25;PGA478;Laptop;Intel Core2 Duo P7570 @ 2.26GHz
Intel Core2 Duo P8400 @ 2.26GHz;2;864;918;25;BGA479;Laptop;Intel Core2 Duo P8400 @ 2.26GHz
Intel Core2 Duo P8600 @ 2.40GHz;2;859;942;25;BGA479;Laptop;Intel Core2 Duo P8600 @ 2.40GHz
Intel Core2 Duo P8700 @ 2.53GHz;2;959;1012;25;BGA479;Laptop;Intel Core2 Duo P8700 @ 2.53GHz
Intel Core2 Duo P8800 @ 2.66GHz;2;937;1075;25;BGA479;Laptop;Intel Core2 Duo P8800 @ 2.66GHz
Intel Core2 Duo P9300 @ 2.26GHz;2;983;975;NA;Unknown;Laptop;Intel Core2 Duo P9300 @ 2.26GHz
Intel Core2 Duo P9500 @ 2.53GHz;2;993;1057;25;BGA479;Laptop;Intel Core2 Duo P9500 @ 2.53GHz
Intel Core2 Duo P9600 @ 2.53GHz;2;1040;1082;25;PGA478;Laptop;Intel Core2 Duo P9600 @ 2.53GHz
Intel Core2 Duo P9600 @ 2.66GHz;2;1093;1120;25;PGA478;Laptop;Intel Core2 Duo P9600 @ 2.66GHz
Intel Core2 Duo P9700 @ 2.80GHz;2;1178;1166;28;PGA478;Laptop;Intel Core2 Duo P9700 @ 2.80GHz
Intel Core2 Duo SL9400 @ 1.86GHz;2;753;786;17;BGA956;Laptop;Intel Core2 Duo SL9400 @ 1.86GHz
Intel Core2 Duo SP9400 @ 2.40GHz;2;887;900;25;BGA956;Laptop;Intel Core2 Duo SP9400 @ 2.40GHz
Intel Core2 Duo SU9400 @ 1.40GHz;2;529;587;10;BGA956;Laptop;Intel Core2 Duo SU9400 @ 1.40GHz
Intel Core2 Duo T5200 @ 1.60GHz;2;470;592;34;Socket M;Laptop;Intel Core2 Duo T5200 @ 1.60GHz
Intel Core2 Duo T5250 @ 1.50GHz;2;556;568;35;PGA478;Laptop;Intel Core2 Duo T5250 @ 1.50GHz
Intel Core2 Duo T5270 @ 1.40GHz;2;427;535;35;PGA478;Laptop;Intel Core2 Duo T5270 @ 1.40GHz
Intel Core2 Duo T5300 @ 1.73GHz;2;530;533;34;PGA478;Laptop;Intel Core2 Duo T5300 @ 1.73GHz
Intel Core2 Duo T5450 @ 1.66GHz;2;584;585;35;PGA478;Laptop;Intel Core2 Duo T5450 @ 1.66GHz
Intel Core2 Duo T5470 @ 1.60GHz;2;590;636;35;PGA478;Laptop;Intel Core2 Duo T5470 @ 1.60GHz
Intel Core2 Duo T5500 @ 1.66GHz;2;572;617;34;PGA478;Laptop;Intel Core2 Duo T5500 @ 1.66GHz
Intel Core2 Duo T5550 @ 1.83GHz;2;634;677;35;PGA478;Laptop;Intel Core2 Duo T5550 @ 1.83GHz
Intel Core2 Duo T5600 @ 1.83GHz;2;675;683;34;PGA478;Laptop;Intel Core2 Duo T5600 @ 1.83GHz
Intel Core2 Duo T5670 @ 1.80GHz;2;633;691;35;Socket P;Laptop;Intel Core2 Duo T5670 @ 1.80GHz
Intel Core2 Duo T5750 @ 2.00GHz;2;701;741;35;Socket P;Laptop;Intel Core2 Duo T5750 @ 2.00GHz
Intel Core2 Duo T5800 @ 2.00GHz;2;641;725;35;PGA478;Laptop;Intel Core2 Duo T5800 @ 2.00GHz
Intel Core2 Duo T5850 @ 2.16GHz;2;721;747;NA;Socket P;Laptop;Intel Core2 Duo T5850 @ 2.16GHz
Intel Core2 Duo T5870 @ 2.00GHz;2;705;744;35;PPGA478, Socket;Laptop;Intel Core2 Duo T5870 @ 2.00GHz
Intel Core2 Duo T5900 @ 2.20GHz;2;677;769;NA;Socket P;Laptop;Intel Core2 Duo T5900 @ 2.20GHz
Intel Core2 Duo T6400 @ 2.00GHz;2;733;793;35;PGA478;Laptop;Intel Core2 Duo T6400 @ 2.00GHz
Intel Core2 Duo T6500 @ 2.10GHz;2;744;830;35;PGA478;Laptop;Intel Core2 Duo T6500 @ 2.10GHz
Intel Core2 Duo T6570 @ 2.10GHz;2;774;848;35;PGA478;Laptop;Intel Core2 Duo T6570 @ 2.10GHz
Intel Core2 Duo T6600 @ 2.20GHz;2;801;855;35;PGA478;Laptop;Intel Core2 Duo T6600 @ 2.20GHz
Intel Core2 Duo T6670 @ 2.20GHz;2;841;892;35;PGA478;Laptop;Intel Core2 Duo T6670 @ 2.20GHz
Intel Core2 Duo T7100 @ 1.80GHz;2;605;686;35;BGA479;Laptop;Intel Core2 Duo T7100 @ 1.80GHz
Intel Core2 Duo T7200 @ 2.00GHz;2;739;740;34;PBGA479, PPGA478;Laptop;Intel Core2 Duo T7200 @ 2.00GHz
Intel Core2 Duo T7250 @ 2.00GHz;2;696;758;35;BGA479;Laptop;Intel Core2 Duo T7250 @ 2.00GHz
Intel Core2 Duo T7300 @ 2.00GHz;2;702;768;35;BGA479;Laptop;Intel Core2 Duo T7300 @ 2.00GHz
Intel Core2 Duo T7400 @ 2.16GHz;2;766;769;34;BGA479;Laptop;Intel Core2 Duo T7400 @ 2.16GHz
Intel Core2 Duo T7500 @ 2.20GHz;2;826;845;35;BGA479;Laptop;Intel Core2 Duo T7500 @ 2.20GHz
Intel Core2 Duo T7600 @ 2.33GHz;2;800;849;34;PBGA479, PPGA478;Laptop;Intel Core2 Duo T7600 @ 2.33GHz
Intel Core2 Duo T7700 @ 2.40GHz;2;944;966;35;BGA479;Laptop;Intel Core2 Duo T7700 @ 2.40GHz
Intel Core2 Duo T7800 @ 2.60GHz;2;909;949;35;BGA479;Laptop;Intel Core2 Duo T7800 @ 2.60GHz
Intel Core2 Duo T8100 @ 2.10GHz;2;789;841;35;BGA479;Laptop;Intel Core2 Duo T8100 @ 2.10GHz
Intel Core2 Duo T8300 @ 2.40GHz;2;905;970;35;BGA479;Laptop;Intel Core2 Duo T8300 @ 2.40GHz
Intel Core2 Duo T9300 @ 2.50GHz;2;985;1022;35;BGA479;Laptop;Intel Core2 Duo T9300 @ 2.50GHz
Intel Core2 Duo T9400 @ 2.53GHz;2;1004;1031;35;BGA479;Laptop;Intel Core2 Duo T9400 @ 2.53GHz
Intel Core2 Duo T9500 @ 2.60GHz;2;1022;1044;35;BGA479;Laptop;Intel Core2 Duo T9500 @ 2.60GHz
Intel Core2 Duo T9550 @ 2.66GHz;2;989;1072;35;BGA479;Laptop;Intel Core2 Duo T9550 @ 2.66GHz
Intel Core2 Duo T9600 @ 2.80GHz;2;1089;1119;35;BGA479;Laptop;Intel Core2 Duo T9600 @ 2.80GHz
Intel Core2 Duo T9800 @ 2.93GHz;2;1193;1203;35;BGA479;Laptop;Intel Core2 Duo T9800 @ 2.93GHz
Intel Core2 Duo T9900 @ 3.06GHz;2;1206;1196;35;BGA479,PGA478;Laptop;Intel Core2 Duo T9900 @ 3.06GHz
Intel Core2 Duo U7300 @ 1.30GHz;2;537;538;10;BGA956;Laptop;Intel Core2 Duo U7300 @ 1.30GHz
Intel Core2 Duo U7500 @ 1.06GHz;2;408;396;10;BGA479;Laptop;Intel Core2 Duo U7500 @ 1.06GHz
Intel Core2 Duo U7600 @ 1.20GHz;2;347;429;10;BGA479;Laptop;Intel Core2 Duo U7600 @ 1.20GHz
Intel Core2 Duo U7700 @ 1.33GHz;2;420;449;10;Unknown;Laptop;Intel Core2 Duo U7700 @ 1.33GHz
Intel Core2 Duo U9300 @ 1.20GHz;2;447;512;10;BGA956;Laptop;Intel Core2 Duo U9300 @ 1.20GHz
Intel Core2 Duo U9600 @ 1.60GHz;2;587;662;10;BGA956;Laptop;Intel Core2 Duo U9600 @ 1.60GHz
Intel Core2 Extreme Q6800 @ 2.93GHz;4;2218;1141;75;LGA775;Desktop;Intel Core2 Extreme Q6800 @ 2.93GHz
Intel Core2 Extreme Q6850 @ 3.00GHz;4;2250;1200;130;LGA775;Desktop;Intel Core2 Extreme Q6850 @ 3.00GHz
Intel Core2 Extreme Q9200 @ 2.40GHz;4;2011;1080;NA;Unknown;Desktop;Intel Core2 Extreme Q9200 @ 2.40GHz
Intel Core2 Extreme Q9300 @ 2.53GHz;4;1912;1028;45;PGA478;Desktop;Intel Core2 Extreme Q9300 @ 2.53GHz
Intel Core2 Extreme X6800 @ 2.93GHz;2;1118;1118;75;PLGA775;Desktop;Intel Core2 Extreme X6800 @ 2.93GHz
Intel Core2 Extreme X7800 @ 2.60GHz;2;1138;1077;44;PGA478;Laptop;Intel Core2 Extreme X7800 @ 2.60GHz
Intel Core2 Extreme X7900 @ 2.80GHz;2;1115;1090;44;PGA478;Laptop;Intel Core2 Extreme X7900 @ 2.80GHz
Intel Core2 Extreme X9000 @ 2.80GHz;2;1108;1101;44;PGA478;Laptop;Intel Core2 Extreme X9000 @ 2.80GHz
Intel Core2 Extreme X9100 @ 3.06GHz;2;1181;1184;44;PGA478;Laptop;Intel Core2 Extreme X9100 @ 3.06GHz
Intel Core2 Extreme X9650 @ 3.00GHz;4;2426;1261;130;LGA775;Desktop;Intel Core2 Extreme X9650 @ 3.00GHz
Intel Core2 Extreme X9750 @ 3.16GHz;4;2348;1352;NA;Unknown;Desktop;Intel Core2 Extreme X9750 @ 3.16GHz
Intel Core2 Extreme X9770 @ 3.20GHz;4;2701;1394;136;LGA775;Desktop;Intel Core2 Extreme X9770 @ 3.20GHz
Intel Core2 Extreme X9775 @ 3.20GHz;4;2780;1451;150;LGA771;Desktop;Intel Core2 Extreme X9775 @ 3.20GHz
